nazwa_zmiennej;kraj;wojewodztwo;przedmiot;plec;typ_informacji_z_jednostka_miary;rok;wartosc;flaga;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język rosyjski;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język francuski;ogółem;relacja [%];2019;34;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język francuski;dziewczęta;relacja [%];2019;35;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język francuski;chłopcy;relacja [%];2019;28;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język hiszpański;ogółem;relacja [%];2019;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język hiszpański;dziewczęta;relacja [%];2019;93;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język hiszpański;chłopcy;relacja [%];2019;13;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język włoski;ogółem;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język włoski;dziewczęta;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język włoski;chłopcy;relacja [%];2019;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język polski;ogółem;relacja [%];2019;60;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język polski;dziewczęta;relacja [%];2019;66;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język polski;chłopcy;relacja [%];2019;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Matematyka;ogółem;relacja [%];2019;41;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Matematyka;dziewczęta;relacja [%];2019;41;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Matematyka;chłopcy;relacja [%];2019;42;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język angielski;ogółem;relacja [%];2019;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język angielski;dziewczęta;relacja [%];2019;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język angielski;chłopcy;relacja [%];2019;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język niemiecki;ogółem;relacja [%];2019;33;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język niemiecki;dziewczęta;relacja [%];2019;37;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język niemiecki;chłopcy;relacja [%];2019;30;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język rosyjski;ogółem;relacja [%];2019;39;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język rosyjski;dziewczęta;relacja [%];2019;49;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język rosyjski;chłopcy;relacja [%];2019;31;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język francuski;ogółem;relacja [%];2019;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język francuski;dziewczęta;relacja [%];2019;13;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język francuski;chłopcy;relacja [%];2019;100;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język hiszpański;ogółem;relacja [%];2019;84;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Kujawsko-pomorskie;Język hiszpański;dziewczęta;relacja [%];2019;84;;;;;;;;;;;;;;;;;;;;
