nazwa_zmiennej;kraj;wojewodztwo;przedmiot;plec;typ_informacji_z_jednostka_miary;rok;wartosc;flaga;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język francuski;chłopcy;relacja [%];2020;83;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język hiszpański;ogółem;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język hiszpański;dziewczęta;relacja [%];2020;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język hiszpański;chłopcy;relacja [%];2020;52;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język włoski;ogółem;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język włoski;dziewczęta;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Łódzkie;Język włoski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język polski;ogółem;relacja [%];2020;62;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język polski;dziewczęta;relacja [%];2020;67;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język polski;chłopcy;relacja [%];2020;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Matematyka;ogółem;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Matematyka;dziewczęta;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Matematyka;chłopcy;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język angielski;ogółem;relacja [%];2020;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język angielski;dziewczęta;relacja [%];2020;59;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język angielski;chłopcy;relacja [%];2020;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język niemiecki;ogółem;relacja [%];2020;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język niemiecki;dziewczęta;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język niemiecki;chłopcy;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język rosyjski;ogółem;relacja [%];2020;80;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język rosyjski;dziewczęta;relacja [%];2020;77;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język rosyjski;chłopcy;relacja [%];2020;81;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język francuski;ogółem;relacja [%];2020;70;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język francuski;dziewczęta;relacja [%];2020;76;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język francuski;chłopcy;relacja [%];2020;65;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język hiszpański;ogółem;relacja [%];2020;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język hiszpański;dziewczęta;relacja [%];2020;92;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język hiszpański;chłopcy;relacja [%];2020;22;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język włoski;ogółem;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język włoski;dziewczęta;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Małopolskie;Język włoski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język polski;ogółem;relacja [%];2020;62;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język polski;dziewczęta;relacja [%];2020;67;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język polski;chłopcy;relacja [%];2020;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Matematyka;ogółem;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Matematyka;dziewczęta;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Matematyka;chłopcy;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język angielski;ogółem;relacja [%];2020;59;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język angielski;dziewczęta;relacja [%];2020;60;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język angielski;chłopcy;relacja [%];2020;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język niemiecki;ogółem;relacja [%];2020;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język niemiecki;dziewczęta;relacja [%];2020;50;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język niemiecki;chłopcy;relacja [%];2020;46;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język rosyjski;ogółem;relacja [%];2020;47;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język rosyjski;dziewczęta;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język rosyjski;chłopcy;relacja [%];2020;41;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język francuski;ogółem;relacja [%];2020;84;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język francuski;dziewczęta;relacja [%];2020;88;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język francuski;chłopcy;relacja [%];2020;70;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język hiszpański;ogółem;relacja [%];2020;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język hiszpański;dziewczęta;relacja [%];2020;50;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język hiszpański;chłopcy;relacja [%];2020;41;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język włoski;ogółem;relacja [%];2020;72;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język włoski;dziewczęta;relacja [%];2020;72;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Mazowieckie;Język włoski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język polski;ogółem;relacja [%];2020;60;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język polski;dziewczęta;relacja [%];2020;65;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język polski;chłopcy;relacja [%];2020;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Matematyka;ogółem;relacja [%];2020;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Matematyka;dziewczęta;relacja [%];2020;44;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Matematyka;chłopcy;relacja [%];2020;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język angielski;ogółem;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język angielski;dziewczęta;relacja [%];2020;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język angielski;chłopcy;relacja [%];2020;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język niemiecki;ogółem;relacja [%];2020;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język niemiecki;dziewczęta;relacja [%];2020;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język niemiecki;chłopcy;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język rosyjski;ogółem;relacja [%];2020;93;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język rosyjski;dziewczęta;relacja [%];2020;93;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język rosyjski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język francuski;ogółem;relacja [%];2020;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język francuski;dziewczęta;relacja [%];2020;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język francuski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język hiszpański;ogółem;relacja [%];2020;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język hiszpański;dziewczęta;relacja [%];2020;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język hiszpański;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język włoski;ogółem;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język włoski;dziewczęta;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Opolskie;Język włoski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język polski;ogółem;relacja [%];2020;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język polski;dziewczęta;relacja [%];2020;66;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język polski;chłopcy;relacja [%];2020;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Matematyka;ogółem;relacja [%];2020;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Matematyka;dziewczęta;relacja [%];2020;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Matematyka;chłopcy;relacja [%];2020;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język angielski;ogółem;relacja [%];2020;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język angielski;dziewczęta;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język angielski;chłopcy;relacja [%];2020;52;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język niemiecki;ogółem;relacja [%];2020;47;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język niemiecki;dziewczęta;relacja [%];2020;49;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język niemiecki;chłopcy;relacja [%];2020;44;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język rosyjski;ogółem;relacja [%];2020;44;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język rosyjski;dziewczęta;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język rosyjski;chłopcy;relacja [%];2020;30;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język francuski;ogółem;relacja [%];2020;97;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język francuski;dziewczęta;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język francuski;chłopcy;relacja [%];2020;97;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język hiszpański;ogółem;relacja [%];2020;89;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język hiszpański;dziewczęta;relacja [%];2020;85;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język hiszpański;chłopcy;relacja [%];2020;96;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język włoski;ogółem;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język włoski;dziewczęta;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podkarpackie;Język włoski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język polski;ogółem;relacja [%];2020;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język polski;dziewczęta;relacja [%];2020;63;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język polski;chłopcy;relacja [%];2020;52;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Matematyka;ogółem;relacja [%];2020;47;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Matematyka;dziewczęta;relacja [%];2020;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Matematyka;chłopcy;relacja [%];2020;46;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język angielski;ogółem;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język angielski;dziewczęta;relacja [%];2020;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język angielski;chłopcy;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język niemiecki;ogółem;relacja [%];2020;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język niemiecki;dziewczęta;relacja [%];2020;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język niemiecki;chłopcy;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język rosyjski;ogółem;relacja [%];2020;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język rosyjski;dziewczęta;relacja [%];2020;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język rosyjski;chłopcy;relacja [%];2020;46;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język francuski;ogółem;relacja [%];2020;88;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język francuski;dziewczęta;relacja [%];2020;92;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język francuski;chłopcy;relacja [%];2020;82;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język hiszpański;ogółem;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język hiszpański;dziewczęta;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język hiszpański;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język włoski;ogółem;relacja [%];2020;24;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język włoski;dziewczęta;relacja [%];2020;24;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Podlaskie;Język włoski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język polski;ogółem;relacja [%];2020;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język polski;dziewczęta;relacja [%];2020;63;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język polski;chłopcy;relacja [%];2020;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Matematyka;ogółem;relacja [%];2020;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Matematyka;dziewczęta;relacja [%];2020;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Matematyka;chłopcy;relacja [%];2020;46;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język angielski;ogółem;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język angielski;dziewczęta;relacja [%];2020;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język angielski;chłopcy;relacja [%];2020;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język niemiecki;ogółem;relacja [%];2020;41;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język niemiecki;dziewczęta;relacja [%];2020;44;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język niemiecki;chłopcy;relacja [%];2020;37;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język rosyjski;ogółem;relacja [%];2020;90;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język rosyjski;dziewczęta;relacja [%];2020;98;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język rosyjski;chłopcy;relacja [%];2020;86;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język francuski;ogółem;relacja [%];2020;93;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język francuski;dziewczęta;relacja [%];2020;93;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język francuski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język hiszpański;ogółem;relacja [%];2020;97;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język hiszpański;dziewczęta;relacja [%];2020;97;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język hiszpański;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język włoski;ogółem;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język włoski;dziewczęta;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Pomorskie;Język włoski;chłopcy;relacja [%];2020;0;(.);;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język polski;ogółem;relacja [%];2020;59;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język polski;dziewczęta;relacja [%];2020;64;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język polski;chłopcy;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Matematyka;ogółem;relacja [%];2020;46;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Matematyka;dziewczęta;relacja [%];2020;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Matematyka;chłopcy;relacja [%];2020;46;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język angielski;ogółem;relacja [%];2020;55;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język angielski;dziewczęta;relacja [%];2020;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język angielski;chłopcy;relacja [%];2020;54;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język niemiecki;ogółem;relacja [%];2020;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język niemiecki;dziewczęta;relacja [%];2020;51;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język niemiecki;chłopcy;relacja [%];2020;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język rosyjski;ogółem;relacja [%];2020;49;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język rosyjski;dziewczęta;relacja [%];2020;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język rosyjski;chłopcy;relacja [%];2020;39;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język francuski;ogółem;relacja [%];2020;59;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język francuski;dziewczęta;relacja [%];2020;47;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Śląskie;Język francuski;chłopcy;relacja [%];2020;98;;;;;;;;;;;;;;;;;;;;
