ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;język polski_liczba zdających;język polski_wynik średni (%);język polski_odchylenie standardowe (%);język polski_mediana (%);język polski_modalna (%);matematyka_liczba zdających;matematyka_wynik średni (%);matematyka_odchylenie standardowe (%);matematyka_mediana (%);matematyka_modalna (%);język angielski_liczba zdających;język angielski_wynik średni (%);język angielski_odchylenie standardowe (%);język angielski_mediana (%);język angielski_modalna (%);język francuski_liczba zdających;język francuski_wynik średni (%);język francuski_odchylenie standardowe (%);język francuski_mediana (%);język francuski_modalna (%);język hiszpański_liczba zdających;język hiszpański_wynik średni (%);język hiszpański_odchylenie standardowe (%);język hiszpański_mediana (%);język hiszpański_modalna (%);język niemiecki_liczba zdających;język niemiecki_wynik średni (%);język niemiecki_odchylenie standardowe (%);język niemiecki_mediana (%);język niemiecki_modalna (%);język rosyjski_liczba zdających;język rosyjski_wynik średni (%);język rosyjski_odchylenie standardowe (%);język rosyjski_mediana (%);język rosyjski_modalna (%);język włoski_liczba zdających;język włoski_wynik średni (%);język włoski_odchylenie standardowe (%);język włoski_mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;401062;91660;dla młodzieży;Tak;PUBLICZNA SZKOŁA PODSTAWOWA IM. PRYMASA TYSIĄCLECIA KARDYNAŁA STEFANA WYSZYŃSKIEGO W KONECKU;Koneck;ul. Włodzimierza Lubańskiego 15;22.0;48.0;13.0;46.0;42.0;22.0;27.0;16.0;22.0;16.0;18.0;45.0;23.0;36.0;27.0;;;;;;;;;;;4.0;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;401062;7232;dla młodzieży;Nie;SZKOŁA PODSTAWOWA W STRASZEWIE;Straszewo;17;6.0;;;;;6.0;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;401062;86316;dla młodzieży;Nie;SZKOŁA PODSTAWOWA W ŚWIĘTEM;Święte;1;6.0;;;;;5.0;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Nieszawa;Gmina miejska;401031;122459;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W NIESZAWIE;Nieszawa;ul. Tadeusza Kościuszki 6;6.0;;;;;6.0;;;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Raciążek;Gmina wiejska;401072;87075;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W RACIĄŻKU;Raciążek;ul. Szkolna 3;35.0;53.0;15.0;53.0;64.0;35.0;43.0;22.0;44.0;12.0;35.0;52.0;27.0;44.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;401082;110118;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W ZBRACHLINIE;Zbrachlin;16;23.0;54.0;17.0;58.0;44.0;23.0;45.0;22.0;52.0;24.0;23.0;49.0;23.0;51.0;51.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;401082;110150;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W NISZCZEWACH;Niszczewy;2;1.0;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;401082;110189;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W BRUDNOWIE;Brudnowo;25;16.0;56.0;16.0;57.0;29.0;16.0;38.0;21.0;34.0;16.0;16.0;45.0;25.0;38.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;401092;53713;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. POLSKI NIEPODLEGŁEJ W ZESPOLE SZKÓŁ W ZAKRZEWIE;Zakrzewo;ul. Osiedlowa 25;15.0;64.0;20.0;73.0;33.0;15.0;48.0;17.0;52.0;60.0;15.0;59.0;34.0;53.0;16.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;401092;119049;dla młodzieży;Nie;SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. JÓZEFA SANCHEZA DEL RIOW SINIARZEWIE;Siniarzewo;74;8.0;;;;;8.0;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;401092;53481;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SĘDZINIE;Sędzin;27A;9.0;;;;;9.0;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bartniczka;Gmina wiejska;402062;51944;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W RADOSZKACH;Radoszki;64A;23.0;53.0;16.0;53.0;38.0;23.0;40.0;20.0;40.0;16.0;23.0;46.0;25.0;38.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bartniczka;Gmina wiejska;402062;271930;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W JASTRZĘBIU;Jastrzębie;14;27.0;57.0;13.0;60.0;60.0;27.0;34.0;19.0;32.0;24.0;27.0;57.0;27.0;49.0;93.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;402022;51808;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. MAŁGORZATY SULEK W DRUŻYNACH;Drużyny;54;15.0;68.0;16.0;69.0;62.0;15.0;45.0;22.0;40.0;36.0;14.0;63.0;32.0;78.0;78.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;402022;52420;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W KRUSZYNACH;Kruszyny;7a;15.0;51.0;19.0;51.0;31.0;15.0;39.0;26.0;32.0;16.0;15.0;30.0;27.0;20.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;
