ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Aleksandrowski;Nieszawa;Gmina miejska;0401031;122459;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W NIESZAWIE;Nieszawa;ul. Tadeusza Kościuszki 6;6;;;;;6;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Raciążek;Gmina wiejska;0401072;87075;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W RACIĄŻKU;Raciążek;ul. Szkolna 3;35;53;15;53;64;35;43;22;44;12;35;52;27;44;25;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110118;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W ZBRACHLINIE;Zbrachlin;16;23;54;17;58;44;23;45;22;52;24;23;49;23;51;51;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110150;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W NISZCZEWACH;Niszczewy;2;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110189;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W BRUDNOWIE;Brudnowo;25;16;56;16;57;29;16;38;21;34;16;16;45;25;38;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;0401092;53713;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. POLSKI NIEPODLEGŁEJ W ZESPOLE SZKÓŁ W ZAKRZEWIE;Zakrzewo;ul. Osiedlowa 25;15;64;20;73;33;15;48;17;52;60;15;59;34;53;16;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;0401092;119049;dla młodzieży;Nie;SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. JÓZEFA SANCHEZA DEL RIOW SINIARZEWIE;Siniarzewo;74;8;;;;;8;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;0401092;53481;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SĘDZINIE;Sędzin;27A;9;;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bartniczka;Gmina wiejska;0402062;51944;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W RADOSZKACH;Radoszki;64A;23;53;16;53;38;23;40;20;40;16;23;46;25;38;24;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bartniczka;Gmina wiejska;0402062;271930;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W JASTRZĘBIU;Jastrzębie;14;27;57;13;60;60;27;34;19;32;24;27;57;27;49;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;51808;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. MAŁGORZATY SULEK W DRUŻYNACH;Drużyny;54;15;68;16;69;62;15;45;22;40;36;14;63;32;78;78;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;52420;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W KRUSZYNACH;Kruszyny;7a;15;51;19;51;31;15;39;26;32;16;15;30;27;20;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;52526;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. DYWIZJONU 303 W MAŁKACH;Małki;30;11;60;20;62;51;11;40;26;36;20;11;62;25;67;35;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;54316;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W NIEŻYWIĘCIU;Nieżywięć;234;10;61;12;63;64;10;42;23;32;28;10;51;30;40;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;55097;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BOBROWIE;Bobrowo;33;18;44;15;48;49;18;27;19;24;24;18;41;30;34;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;6246;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 7 W BRODNICY;Brodnica;ul. Matejki 5;87;64;15;67;73;87;48;25;48;56;84;65;26;67;24;;;;;;;;;;;3;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;3213;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI IM. POLSKICH OLIMPIJCZYKÓW W BRODNICY;Brodnica;ul. Kolejowa 62;69;59;15;60;56;69;49;24;44;44;69;69;26;76;96;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;3205;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W BRODNICY;Brodnica;ul. 3 Maja 4;55;52;17;56;49;55;36;20;28;28;55;50;29;38;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;3219;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 4 Z ODDZIAŁAMI INTEGRACYJNYMI IM. 700 - LECIA BRODNICY W BRODNICY;Brodnica;ul. Nowa 34;72;64;12;64;62;72;48;22;44;36;72;69;26;78;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;196422;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 3 IM. WŁADYSŁAWA JAGIEŁŁY W BRODNICY;Brodnica;ul. Wiejska 6;22;56;18;60;60;22;37;20;34;16;21;47;27;38;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;0402032;80004;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KRÓLEWNY ANNY WAZÓWNY W GORCZENICY;Gorczenica;87;14;60;13;59;76;14;33;17;32;20;16;44;22;37;22;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;0402032;80005;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. ZIEMI MICHAŁOWSKIEJ W GORTATOWIE Z SIEDZIBĄ W SZCZUCE;Szczuka;34;23;59;13;62;53;23;42;31;28;20;23;67;26;67;67;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina wiejska;0402032;80008;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W SZABDZIE;Szabda;59;34;55;15;57;67;34;53;27;56;20;33;65;30;60;98;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19747;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Wielkie Leźno;1;12;67;14;71;78;12;54;26;54;60;12;65;29;69;95;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19750;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Jajkowo;11;9;;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brzozie;Gmina wiejska;0402042;19748;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Brzozie;51B;9;;;;;9;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Miasto;0402054;16480;dla młodzieży;Tak;SZKOŁA PODSTAWOWA;Górzno;ul. Fryderyka Chopina 1;24;49;15;50;64;24;49;19;46;48;23;39;24;33;16;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Górzno;Obszar wiejski;0402055;9233;dla młodzieży;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA;Gołkowo;26;13;56;13;53;53;13;41;22;36;20;13;47;27;42;18;;;;;;;;;;;;;;;;;;;;;;;;;
