ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;52934;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;ul. Szkolna 6;51;58;19;62;67;51;44;26;40;12;51;62;33;69;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;52933;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 5;87;52;19;56;58;87;46;28;44;12;87;55;28;51;33;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;263579;dla młodzieży;Tak;PUBLICZNA SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. ŚW. JANA BOSKO;Aleksandrów Kujawski;ul. Fryderyka Chopina 24;58;64;12;64;71;58;65;26;72;88;58;80;21;87;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88693;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;79;11;60;16;67;71;11;57;22;60;60;11;57;32;56;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88691;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;81;14;47;14;44;31;14;47;19;40;28;14;50;24;39;29;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88690;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;43;18;51;20;48;36;18;42;26;36;52;18;48;29;37;27;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;91719;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;ul. Toruńska 8;28;54;17;53;38;28;31;19;24;24;28;49;28;50;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88692;dla młodzieży;Tak;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;46;13;56;17;64;64;13;34;21;28;8;13;48;31;36;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;91716;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;ul. Szkolna 4;53;53;16;53;62;53;45;26;40;16;53;56;30;53;27;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Bądkowo;Gmina wiejska;0401052;109953;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;ul. Włocławska 13;55;57;15;58;44;55;59;27;60;60;55;63;30;64;96;;;;;;;;;;;;;;;;;;;;;;;;;
