ID OKE;Województwo - nazwa;Powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO szkoły;Identyfikator szkoły;Nazwa szkoły;Miejscowość;Ulica nr;"typ placówki";"rodzaj placówki";czy publiczna;* Otrzymali świadectwo dojrzałości - liczba;* Liczba zdających, którzy przystąpili do wszystkich egzaminów wymaganych;* zdawalność (%);* liczba zdających;* liczba laureatów/finalistów;* zdawalność (%);średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* zdawalność (%);średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;* zdawalność (%);średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* zdawalność (%);średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;* zdawalność (%);średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* zdawalność (%);średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;* zdawalność (%);średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* zdawalność (%);średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;* zdawalność (%);średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* zdawalność (%);średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;* zdawalność (%);średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* zdawalność (%);średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;* zdawalność (%);średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* zdawalność (%);średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;* zdawalność (%);średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;średni wynik (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%);* liczba zdających;* liczba laureatów/finalistów;średni wynik (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;14226;046101-0732I;TECHNIKUM DRZEWNE NR 5 IM. STANISŁAWA STASZICA W BYDGOSZCZY;Bydgoszcz;ul. Toruńska 44;technikum;dla młodzieży;Tak;0;2;;2;;;;;;;2;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;19108;046101-0916Q;IV LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH;Bydgoszcz;ul. Gajowa 98;liceum;dla dorosłych;Tak;1;1;;1;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;19101;046101-0932W;TECHNIKUM EKONOMICZNE NR 6 W BYDGOSZCZY;Bydgoszcz;ul. Gajowa 98;technikum;dla młodzieży;Tak;2;4;;6;;100;48,66666667;7,133644853;51;51;5;100;49,6;6;;100;63,33333333;27,70479301;73;90;6;75;54,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;50;38,16666667;17,83644833;31,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;11640;046101-1111I;XV LICEUM OGÓLNOKSZTAŁCĄCE IM. JEREMIEGO PRZYBORY Z ODDZIAŁAMI MISTRZOSTWA SPORTOWEGO W BYDGOSZCZY;Bydgoszcz;"ul. gen. Augusta Emila Fieldorfa ""Nila"" 13";liceum;dla młodzieży;Tak;1;2;;2;;;;;;;2;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;14372;046101-1631L;TECHNIKUM ELEKTRONICZNE NR 7 IM. WOJSKA POLSKIEGO W BYDGOSZCZY;Bydgoszcz;ul. Mieczysława Karłowicza 20;technikum;dla młodzieży;Tak;2;2;;2;;;;;;;2;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;13037;046101-23320;TECHNIKUM NR 4 IM. IGNACEGO ŁUKASIEWICZA W BYDGOSZCZY;Bydgoszcz;ul. Ignacego Łukasiewicza 3;technikum;dla młodzieży;Tak;5;6;83,33333333;6;;100;59,33333333;7,498147919;59,5;56;6;100;41,33333333;6;;100;69,33333333;15,73389829;70;;6;100;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;83,33333333;44;10,40833;48;50;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;11222;046101-2431U;TECHNIKUM FRYZJERSKO-KOSMETYCZNE NR 1 W BYDGOSZCZY;Bydgoszcz;ul. Nakielska 11;technikum;dla młodzieży;Tak;1;1;;1;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;12527;046101-2711B;III LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA MICKIEWICZA W BYDGOSZCZY;Bydgoszcz;ul. Nowogrodzka 3;liceum;dla młodzieży;Tak;1;1;;1;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;12972;046101-2831M;TECHNIKUM BUDOWLANE NR 3 IM. JURIJA GAGARINA W BYDGOSZCZY;Bydgoszcz;ul. Jana Pestalozziego 18;technikum;dla młodzieży;Tak;5;10;50;11;;100;59,18181818;9,437046744;63;63;10;100;40,6;11;;100;69,45454545;19,76389562;62;62;10;90;53,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;60;37,18181818;19,08744557;37;26;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;2;;;;;;;;;;;;1;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Bydgoszcz;Bydgoszcz;gmina miejska;0461011;13860;046101-31329;TECHNIKUM SAMOCHODOWE NR 12 W BYDGOSZCZY;Bydgoszcz;ul. Aleja Powstańców Wielkopolskich 63;technikum;dla młodzieży;Tak;0;1;;1;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
